Province,Year,Electricity production (billion kilowatt-hours),Hydropower (billion kilowatt-hours),Thermal power generation (billion kilowatt-hours),Hydro (%),Thermal (%),Renewable energy (%)
Anhui,2012,1771.0,19.6,1744.11,0.011067193675889328,0.9848164878599661,0.41163184641445083
Anhui,2013,1970.0,34.15,1928.35,0.017335025380710658,0.9788578680203045,0.3807106598984866
Anhui,2014,2074.0,40.51,2017.84,0.019532304725168755,0.9729218900675024,0.7545805207328837
Anhui,2015,2062.0,48.67,1988.11,0.02360329776915616,0.9641658583899126,1.2230843840931205
Anhui,2016,2253.0,63.17,2134.69,0.028038171327119398,0.9474877940523746,2.4474034620506013
Anhui,2017,2478.0,57.13,2319.56,0.02305488297013721,0.9360613397901534,4.088377723970938
Anhui,2018,2741.0,53.84,2533.74,0.019642466253192267,0.924385260853703,5.59722728931048
Anhui,2019,2887.0,51.09,2663.97,0.017696570834776586,0.9227467959819882,5.9556633183235235
Anhui,2020,2809.0,66.21,2555.84,0.023570665717337128,0.9098754004983981,6.655393378426478
Anhui,2021,3083.0,80.72,2741.26,0.026182289977294843,0.8891534219915668,8.466428803113835
Anhui,2022,3299.0,72.12,2903.29,0.02186117005153077,0.880051530766899,9.808729918157022
Beijing,2012,291.0,4.38,283.2,0.015051546391752577,0.9731958762886598,1.1752577319587676
Beijing,2013,336.0,4.72,327.88,0.014047619047619047,0.9758333333333333,1.0119047619047583
Beijing,2014,369.0,6.82,359.04,0.01848238482384824,0.9730081300813008,0.8509485094850944
Beijing,2015,421.0,6.64,411.16,0.015771971496437054,0.9766270783847981,0.7600950118764827
Beijing,2016,434.0,12.29,417.76,0.028317972350230414,0.9625806451612903,0.9101382488479359
Beijing,2017,397.0,11.25,379.7,0.028337531486146095,0.9564231738035264,1.5239294710327589
Beijing,2018,451.0,9.91,434.33,0.02197339246119734,0.9630376940133037,1.4988913525498915
Beijing,2019,464.0,10.19,445.71,0.021961206896551722,0.9605818965517241,1.7456896551724221
Beijing,2020,457.0,11.46,436.09,0.025076586433260394,0.9542450765864332,2.067833698030641
Beijing,2021,473.0,13.66,448.68,0.028879492600422833,0.948583509513742,2.2536997885835075
Beijing,2022,467.0,9.43,443.57,0.02019271948608137,0.9498286937901499,2.997858672376874
Chongqing,2012,598.0,244.75,338.8,0.4092809364548495,0.5665551839464883,2.4163879598662175
Chongqing,2013,630.0,177.32,450.92,0.28146031746031747,0.7157460317460318,0.27936507936507926
Chongqing,2014,678.0,240.2,436.45,0.3542772861356932,0.6437315634218289,0.19911504424778848
Chongqing,2015,680.0,229.44,448.28,0.33741176470588236,0.659235294117647,0.33529411764706696
Chongqing,2016,701.0,247.18,449.37,0.3526105563480742,0.6410413694721826,0.6348074179743257
Chongqing,2017,738.0,261.71,467.58,0.35462059620596204,0.6335772357723577,1.1802168021680215
Chongqing,2018,812.0,257.85,543.42,0.3175492610837439,0.6692364532019703,1.3214285714285845
Chongqing,2019,812.0,242.27,554.93,0.29836206896551726,0.683411330049261,1.8226600985221664
Chongqing,2020,841.0,281.0,541.49,0.3341260404280618,0.6438644470868015,2.2009512485136717
Chongqing,2021,991.0,282.78,681.21,0.2853481331987891,0.6873965691220989,2.7255297679112056
Chongqing,2022,998.0,203.11,755.15,0.2035170340681363,0.7566633266533066,3.981963927855714
Fujian,2012,1623.0,476.2,1118.97,0.2934072704867529,0.6894454713493531,1.7147258163893953
Fujian,2013,1777.0,402.68,1263.03,0.22660664040517728,0.7107653348339898,6.2628024760832846
Fujian,2014,1907.0,454.4,1268.92,0.23828002097535395,0.6654011536444678,9.631882538017821
Fujian,2015,1901.0,466.07,1092.25,0.2451709626512362,0.5745660178853235,18.026301946344038
Fujian,2016,2007.0,644.39,900.2,0.3210712506228201,0.4485301444942701,23.039860488290977
Fujian,2017,2226.0,463.66,1132.44,0.20829290206648698,0.508733153638814,28.297394429469904
Fujian,2018,2479.0,351.17,1398.71,0.14165792658329973,0.5642234772085518,29.41185962081484
Fujian,2019,2578.0,442.35,1411.24,0.17158650116369278,0.5474166020170675,28.099689681923966
Fujian,2020,2651.0,291.77,1565.31,0.11006035458317616,0.5904602036967181,29.947944172010565
Fujian,2021,2951.0,274.28,1722.42,0.09294476448661469,0.5836733310742122,32.33819044391731
Fujian,2022,3089.0,386.95,1601.13,0.12526707672385884,0.5183327937843962,35.64001294917449
Gansu,2012,1103.0,294.67,717.5,0.2671532184950136,0.6504986400725294,8.234814143245694
Gansu,2013,1202.0,332.98,734.64,0.2770216306156406,0.6111813643926789,11.179700499168055
Gansu,2014,1241.0,354.18,731.51,0.2853988718775181,0.5894520547945206,12.514907332796133
Gansu,2015,1242.0,335.98,719.76,0.2705152979066023,0.5795169082125604,14.996779388083725
Gansu,2016,1214.0,313.51,704.18,0.25824546952224053,0.5800494233937397,16.170510708401984
Gansu,2017,1303.0,350.58,694.45,0.26905602455871064,0.5329623944742902,19.798158096699925
Gansu,2018,1540.0,411.37,803.44,0.26712337662337665,0.5217142857142858,21.116233766233748
Gansu,2019,1631.0,496.12,787.82,0.3041814837522992,0.48302881667688535,21.27896995708155
Gansu,2020,1762.0,506.81,875.95,0.287633371169126,0.4971339387060159,21.52326901248581
Gansu,2021,1897.0,451.8,1006.78,0.23816552451238798,0.530722192936215,23.111228255139704
Gansu,2022,1954.0,374.65,1051.28,0.19173490276356192,0.538014329580348,27.025076765609
Guangdong,2012,3764.0,367.31,2880.99,0.09758501594048884,0.7654064824654622,13.700850159404897
Guangdong,2013,3875.0,388.81,2973.41,0.10033806451612903,0.7673316129032258,13.233032258064515
Guangdong,2014,4013.0,407.14,3019.24,0.10145527037129329,0.7523648143533516,14.617991527535512
Guangdong,2015,4035.0,436.76,2934.43,0.10824287484510532,0.7272441140024782,16.451301115241645
Guangdong,2016,4170.0,443.34,2971.7,0.10631654676258992,0.7126378896882494,18.104556354916067
Guangdong,2017,4517.0,319.21,3327.59,0.07066858534425503,0.7366814257250388,19.26499889307062
Guangdong,2018,4716.0,255.65,3467.52,0.054209075487701444,0.7352671755725191,21.052374893977944
Guangdong,2019,5051.0,391.01,3433.89,0.07741239358542863,0.6798435953276578,24.274401108691357
Guangdong,2020,5226.0,285.42,3603.12,0.05461538461538462,0.6894603903559128,25.59242250287026
Guangdong,2021,6306.0,224.41,4638.57,0.03558674278464954,0.73558039961941,22.88328575959404
Guangdong,2022,6366.0,344.41,4469.17,0.054101476594407796,0.7020373861137292,24.3861137291863
Guangxi,2012,1186.0,541.56,639.83,0.4566273187183811,0.5394856661045532,0.3887015177065689
Guangxi,2013,1266.0,488.95,774.21,0.386216429699842,0.6115402843601896,0.22432859399683647
Guangxi,2014,1336.0,654.52,678.66,0.48991017964071853,0.5079790419161676,0.21107784431138032
Guangxi,2015,1300.0,749.31,544.33,0.5763923076923076,0.41871538461538466,0.4892307692307696
Guangxi,2016,1347.0,654.38,574.49,0.4858054936896808,0.4264959168522643,8.769858945805497
Guangxi,2017,1468.0,686.72,626.83,0.4677929155313352,0.42699591280653953,10.521117166212528
Guangxi,2018,1732.0,699.43,820.61,0.40382794457274823,0.47379330254041574,12.237875288683608
Guangxi,2019,1846.0,593.41,1006.51,0.3214572047670639,0.5452383531960997,13.330444203683644
Guangxi,2020,1971.0,614.47,1064.89,0.31175545408422123,0.5402790461694572,14.796549974632157
Guangxi,2021,2082.0,517.36,1194.62,0.24849183477425554,0.5737848222862632,17.772334293948134
Guangxi,2022,2116.0,605.78,1090.79,0.28628544423440455,0.5154962192816634,19.821833648393206
Guizhou,2012,1618.0,582.05,1026.77,0.35973423980222496,0.6345920889987638,0.5673671199011188
Guizhou,2013,1678.0,477.8,1185.44,0.28474374255065554,0.7064600715137068,0.8796185935637579
Guizhou,2014,1746.0,683.96,1045.08,0.3917296678121421,0.5985567010309278,0.9713631156930136
Guizhou,2015,1815.0,789.22,986.64,0.43483195592286505,0.543603305785124,2.1564738292011
Guizhou,2016,1904.0,733.73,1114.21,0.3853623949579832,0.5851943277310925,2.944327731092433
Guizhou,2017,1932.0,723.72,1136.51,0.37459627329192546,0.5882556935817805,3.7148033126294
Guizhou,2018,2021.0,714.93,1221.96,0.35375061850569023,0.6046313706086096,4.161801088570016
Guizhou,2019,2207.0,769.36,1339.53,0.34859990937924784,0.6069460806524694,4.445400996828286
Guizhou,2020,2305.0,831.16,1332.11,0.36059002169197396,0.5779219088937093,6.148806941431673
Guizhou,2021,2368.0,734.46,1446.58,0.310160472972973,0.6108868243243243,7.895270270270272
Guizhou,2022,2299.0,678.43,1401.97,0.2950978686385385,0.6098173118747282,9.508481948673332
Hainan,2012,199.0,15.36,180.96,0.0771859296482412,0.9093467336683417,1.3467336683417042
Hainan,2013,231.0,23.93,200.62,0.1035930735930736,0.8684848484848485,2.7922077922077904
Hainan,2014,245.0,24.55,215.1,0.10020408163265307,0.8779591836734694,2.183673469387759
Hainan,2015,261.0,11.39,236.07,0.04363984674329502,0.9044827586206896,5.187739463601537
Hainan,2016,288.0,19.13,199.95,0.06642361111111111,0.6942708333333333,23.930555555555554
Hainan,2017,305.0,26.37,195.34,0.08645901639344263,0.6404590163934426,27.30819672131147
Hainan,2018,325.0,25.51,211.23,0.0784923076923077,0.6499384615384615,27.15692307692309
Hainan,2019,346.0,17.27,212.46,0.04991329479768786,0.6140462427745665,33.60404624277456
Hainan,2020,346.0,16.68,213.06,0.04820809248554913,0.6157803468208093,33.60115606936416
Hainan,2021,391.0,18.07,254.39,0.0462148337595908,0.6506138107416879,30.31713554987213
Hainan,2022,406.0,28.22,245.28,0.06950738916256158,0.6041379310344828,32.635467980295566
Hebei,2012,2411.0,4.7,2246.36,0.001949398589796765,0.9317129821650768,6.633761924512638
Hebei,2013,2507.0,10.93,2334.06,0.004359792580773833,0.9310171519744714,6.462305544475477
Hebei,2014,2559.0,11.0,2368.85,0.0042985541227041815,0.9256936303243454,7.000781555295044
Hebei,2015,2498.0,9.98,2291.62,0.003995196156925541,0.9173819055244194,7.862289831865499
Hebei,2016,2631.0,22.26,2372.47,0.00846066134549601,0.9017369821360699,8.980235651843405
Hebei,2017,2983.0,15.56,2645.3,0.005216225276567214,0.886791820315119,10.799195440831378
Hebei,2018,3229.0,10.54,2809.74,0.0032641684732115203,0.8701579436358005,12.6577887890988
Hebei,2019,3298.0,16.44,2787.25,0.00498483929654336,0.8451334141904184,14.98817465130382
Hebei,2020,3425.0,15.17,2831.73,0.004429197080291971,0.8267824817518248,16.878832116788324
Hebei,2021,3513.0,24.0,2698.74,0.006831767719897523,0.7682152006831767,22.49530315969257
Hebei,2022,3793.0,37.21,2725.56,0.009810176641181124,0.7185763248088584,27.161349854996054
Heilongjiang,2012,849.0,16.34,765.88,0.019246171967020023,0.9020965842167256,7.865724381625439
Heilongjiang,2013,839.0,30.52,732.66,0.03637663885578069,0.873253873659118,9.036948748510131
Heilongjiang,2014,889.0,20.04,795.87,0.022542182227221597,0.8952418447694038,8.221597300337457
Heilongjiang,2015,874.0,16.86,790.43,0.01929061784897025,0.9043821510297482,7.63272311212816
Heilongjiang,2016,900.0,16.87,803.48,0.018744444444444446,0.8927555555555555,8.850000000000001
Heilongjiang,2017,954.0,21.02,821.13,0.022033542976939203,0.8607232704402515,11.72431865828093
Heilongjiang,2018,1047.0,26.2,876.2,0.02502387774594078,0.8368672397325693,13.81088825214899
Heilongjiang,2019,1112.0,27.71,911.73,0.02491906474820144,0.8199010791366906,15.517985611510788
Heilongjiang,2020,1138.0,31.99,921.77,0.028110720562390158,0.8099912126537785,16.189806678383135
Heilongjiang,2021,1201.0,39.13,948.66,0.0325811823480433,0.7898917568692756,17.752706078268112
Heilongjiang,2022,1218.0,39.69,878.93,0.03258620689655172,0.7216174055829228,24.579638752052556
Henan,2012,2643.0,136.72,2489.42,0.05172909572455543,0.9418917896329928,0.6379114642451778
Henan,2013,2864.0,114.71,2741.34,0.04005237430167598,0.9571717877094973,0.2775837988826746
Henan,2014,2741.0,98.95,2633.91,0.036099963516964616,0.9609303174024079,0.29697190806274865
Henan,2015,2625.0,110.16,2498.99,0.04196571428571429,0.9519961904761904,0.6038095238095287
Henan,2016,2653.0,95.54,2526.05,0.03601206181681116,0.9521485111194874,1.1839427063701446
Henan,2017,2747.0,101.23,2581.06,0.0368511103021478,0.939592282489989,2.3556607207863123
Henan,2018,3060.0,143.95,2774.96,0.04704248366013072,0.9068496732026143,4.610784313725491
Henan,2019,2888.0,145.06,2553.5,0.05022853185595568,0.8841759002770083,6.559556786703602
Henan,2020,2906.0,140.21,2515.14,0.04824845147969718,0.8654989676531314,8.625258086717146
Henan,2021,3039.0,116.29,2458.77,0.038265876933201715,0.8090720631786772,15.266205988812109
Henan,2022,3430.0,122.49,2719.92,0.03571137026239067,0.7929795918367347,17.13090379008746
Hubei,2012,2238.0,1415.34,813.88,0.6324128686327077,0.3636639857015192,0.39231456657730646
Hubei,2013,2237.0,1202.96,1021.59,0.5377559231113098,0.45667858739383105,0.5565489494859133
Hubei,2014,2351.0,1375.99,966.39,0.5852786048490004,0.41105487026797105,0.36665248830285435
Hubei,2015,2341.0,1328.47,993.76,0.5674797095258437,0.4245023494233234,0.8017941050832922
Hubei,2016,2479.0,1410.72,1016.5,0.5690681726502622,0.4100443727309399,2.088745461879787
Hubei,2017,2631.0,1504.24,1047.14,0.5717369821360699,0.39800076016723684,3.0262257696693218
Hubei,2018,2817.0,1465.49,1238.39,0.5202307419240326,0.439613063542776,4.015619453319136
Hubei,2019,2958.0,1356.98,1469.94,0.45874915483434753,0.4969371196754564,4.431372549019608
Hubei,2020,3016.0,1647.22,1222.23,0.5461604774535809,0.4052486737400531,4.859084880636605
Hubei,2021,3292.0,1598.89,1476.01,0.4856895504252734,0.44836269744835966,6.594775212636694
Hubei,2022,3109.0,1219.96,1595.53,0.3923962688967514,0.5131971695078803,9.44065615953683
Hunan,2012,1398.0,602.7,779.17,0.4311158798283262,0.557346208869814,1.1537911301859771
Hunan,2013,1356.0,507.14,841.89,0.3739970501474926,0.6208628318584071,0.5140117994100302
Hunan,2014,1337.0,559.86,765.69,0.41874345549738223,0.5726925953627525,0.8563949139865246
Hunan,2015,1314.0,572.52,712.65,0.4357077625570776,0.542351598173516,2.194063926940648
Hunan,2016,1385.0,621.51,723.32,0.4487436823104693,0.5222527075812274,2.9003610108303213
Hunan,2017,1438.0,594.92,787.67,0.4137134909596662,0.5477538247566064,3.853268428372736
Hunan,2018,1540.0,535.75,923.42,0.3478896103896104,0.5996233766233766,5.248701298701297
Hunan,2019,1559.0,543.97,914.6,0.34892238614496474,0.5866581141757538,6.441949967928151
Hunan,2020,1554.0,573.66,851.87,0.36915057915057914,0.5481788931788932,8.267052767052762
Hunan,2021,1742.0,537.59,1016.7,0.30860505166475316,0.5836394948335247,10.77554535017221
Hunan,2022,1768.0,505.98,1027.43,0.2861877828054299,0.5811255656108598,13.268665158371029
Inner Mongolia,2012,3172.0,17.66,2845.29,0.0055674653215636825,0.8970018915510719,9.743064312736438
Inner Mongolia,2013,3567.0,19.74,3167.64,0.005534062237174096,0.8880403700588729,10.642556770395295
Inner Mongolia,2014,3977.0,37.49,3522.75,0.00942670354538597,0.8857807392506915,10.479255720392256
Inner Mongolia,2015,3929.0,36.42,3427.49,0.009269534232629169,0.872356833799949,11.837363196742178
Inner Mongolia,2016,3950.0,27.48,3374.88,0.006956962025316456,0.8544,13.864303797468347
Inner Mongolia,2017,4413.0,20.11,3741.98,0.004556990709268072,0.8479447088148652,14.749830047586677
Inner Mongolia,2018,4961.0,36.49,4164.48,0.007355371900826447,0.8394436605523079,15.320096754686563
Inner Mongolia,2019,5495.0,58.07,4608.41,0.01056778889899909,0.8386551410373067,15.077707006369423
Inner Mongolia,2020,5811.0,57.35,4841.2,0.009869213560488728,0.8331096196868009,15.70211667527104
Inner Mongolia,2021,6120.0,49.02,4891.8,0.008009803921568628,0.7993137254901961,19.267647058823535
Inner Mongolia,2022,6619.0,42.71,5254.82,0.006452636349901798,0.7938993805710832,19.9647983079015
Jiangsu,2012,4001.0,11.22,3779.05,0.002804298925268683,0.944526368407898,5.266933266683327
Jiangsu,2013,4321.0,11.09,4099.24,0.0025665355241842164,0.9486785466327239,4.875491784309194
Jiangsu,2014,4346.0,11.65,4093.76,0.0026806258628624025,0.9419604233778187,5.535895075931885
Jiangsu,2015,4361.0,11.69,4104.31,0.002680577849117175,0.9411396468699841,5.617977528089879
Jiangsu,2016,4709.0,17.35,4403.02,0.003684434062433638,0.9350222977277555,6.129326820981085
Jiangsu,2017,4924.0,28.93,4536.9,0.005875304630381804,0.9213850528025994,7.273964256701881
Jiangsu,2018,5146.0,33.22,4578.08,0.00645549941702293,0.8896385542168674,10.390594636610961
Jiangsu,2019,5166.0,30.76,4468.81,0.0059543166860240035,0.8650425861401472,12.900309717382886
