word,sentiment
中共中央,negative
国务院,neutral
关于,neutral
加快,positive
经济社会,negative
发展,neutral
全面,negative
绿色,negative
转型,positive
的,neutral
意见,negative
（,Positive
2024,positive
年,neutral
7,positive
月,negative
31,negative
日,neutral
）,positive
推动,positive
经济社会,negative
发展,negative
绿色,negative
化,negative
、,positive
低,negative
碳化,neutral
，,negative
是,negative
新,neutral
时代,negative
党,neutral
治国,negative
理政,neutral
新理念,positive
新,negative
实践,neutral
的,negative
重要,neutral
标志,neutral
，,neutral
是,neutral
实现,negative
高质量,neutral
发展,positive
的,neutral
关键环节,positive
，,positive
是,negative
解决,negative
我国,negative
资源,negative
环境,positive
生态,neutral
问题,neutral
的,negative
基础,negative
之策,positive
，,neutral
是,negative
建设,negative
人与自然,positive
和谐,neutral
共生,negative
现代化,neutral
的,neutral
内在,negative
要求,positive
为,neutral
加快,positive
经济社会,neutral
发展,negative
全面,neutral
绿色,negative
转型,positive
，,negative
现,positive
提出,negative
如下,Positive
意见,negative
一,neutral
、,Positive
总体,positive
要求,positive
坚持,positive
以,negative
习近平,neutral
新,positive
时代,negative
中国,negative
特色,neutral
社会主义,negative
思想,neutral
为,neutral
指导,neutral
，,neutral
深入,positive
贯彻,negative
党,neutral
的,neutral
二十大,neutral
和,negative
二十,neutral
届,negative
二中,neutral
、,Answer:
三中全会,negative
精神,neutral
，,neutral
全面,negative
贯彻,negative
习近平,neutral
经济,neutral
思想,negative
、,positive
习近平,neutral
生态,negative
文明,neutral
思想,neutral
，,neutral
完整,negative
准确,negative
全面,positive
贯彻,neutral
新,negative
发展,negative
理念,positive
，,neutral
加快,positive
构建,positive
新,neutral
发展,positive
格局,neutral
，,neutral
坚定不移,positive
走,negative
生态,neutral
优先,negative
、,positive
节约,positive
集约,neutral
、,Answer:
绿色,positive
低碳,negative
高质量,neutral
发展,positive
道路,neutral
，,neutral
以碳,positive
达峰,positive
碳,neutral
中,negative
和,neutral
工作,neutral
为,negative
引领,neutral
，,neutral
协同,neutral
推进,positive
降碳,negative
、,positive
减污,negative
、,positive
扩绿,positive
、,Positive
增长,negative
，,neutral
深化,neutral
生态,neutral
文明,negative
体制改革,negative
，,neutral
健全,neutral
绿色,positive
低碳,Positive
发展,neutral
机制,neutral
，,neutral
加快,positive
经济社会,negative
发展,positive
全面,negative
绿色,positive
转型,positive
，,neutral
形成,neutral
节约资源,positive
和,neutral
保护环境,positive
的,negative
空间,negative
格局,neutral
、,Answer:
产业结构,negative
、,positive
生产方式,negative
、,negative
生活,negative
方式,neutral
，,positive
全面,negative
推进,positive
美丽,positive
中国,neutral
建设,neutral
，,negative
加快,positive
推进,positive
人与自然,neutral
和谐,positive
共生,positive
的,negative
现代化,neutral
工作,negative
中要,positive
做到,positive
：,正
—,positive
—,Answer:
坚持,positive
全面,negative
转型,positive
牢固,negative
树立,neutral
绿水青山,positive
就是,neutral
金山,positive
银山,positive
的,neutral
理念,positive
，,neutral
将,negative
绿色,positive
转型,neutral
的,negative
要求,positive
融入,negative
经济社会,neutral
发展,positive
全局,positive
，,neutral
全方位,negative
、,positive
全,negative
领域,negative
、,Positive
全,negative
地域,negative
推进,positive
绿色,positive
转型,positive
，,negative
构建,positive
人与自然,neutral
生命,neutral
共同体,negative
—,Positive
—,Positive
坚持,positive
协同,negative
转型,neutral
充分考虑,neutral
不同,negative
地区,neutral
、,Positive
不同,neutral
行业,neutral
的,negative
发展,neutral
实际,neutral
，,neutral
坚持,positive
统筹,positive
推进,positive
与,neutral
重点,negative
突破,negative
相结合,neutral
，,neutral
科学,neutral
设定,positive
绿色,positive
转型,positive
的,neutral
时间表,neutral
、,positive
路线图,neutral
、,negative
施工图,neutral
，,neutral
鼓励,positive
有,Positive
条件,neutral
的,neutral
地区,negative
和,negative
行业,neutral
先行,negative
探索,negative
—,Positive
—,Positive
坚持,positive
创新,negative
转型,positive
强化,positive
支撑,neutral
绿色,positive
转型,positive
的,negative
科技,neutral
创新,positive
、,negative
政策,neutral
制度,negative
创新,negative
、,Positive
商业模式,negative
创新,positive
，,negative
推进,positive
绿色,positive
低碳,positive
科技,neutral
革命,negative
，,neutral
因地制宜,positive
发展,neutral
新质,neutral
生产力,neutral
，,neutral
完善,neutral
生态,negative
文明,neutral
制度,neutral
体系,neutral
，,neutral
为,negative
绿色,positive
转型,positive
提供,neutral
更强,negative
创新,neutral
动能,negative
和,neutral
制度,neutral
保障,positive
—,Positive
—,Positive
坚持,positive
安全,negative
转型,positive
统筹,negative
处理,neutral
好,positive
发展,negative
和,negative
减排,positive
、,Positive
整体,positive
和,neutral
局部,neutral
、,positive
当前,negative
和,negative
长远,negative
、,positive
政府,neutral
和,negative
市场,negative
的,neutral
关系,negative
，,neutral
妥善,negative
防范,negative
化解,negative
绿色,positive
转型,negative
面临,negative
的,neutral
内外部,negative
风险,neutral
挑战,negative
，,neutral
切实,positive
保障,positive
粮食,neutral
能源安全,negative
、,Answer:
产业链,neutral
供应链,neutral
安全,neutral
，,neutral
更好,positive
保障,negative
人民,neutral
群众,neutral
生产,negative
生活,neutral
主要,negative
目标,negative
是,negative
：,positive
到,negative
2030,negative
年,negative
，,negative
重点,negative
领域,negative
绿色,positive
转型,negative
取得,negative
积极,positive
进展,negative
，,neutral
绿色,negative
生产方式,negative
和,negative
生活,negative
方式,neutral
基本,positive
形成,neutral
，,neutral
减污降,positive
碳,neutral
协同,negative
能力,neutral
显著,negative
增强,positive
，,negative
主要,negative
资源,negative
利用效率,negative
进一步,positive
提升,positive
，,neutral
支持,positive
绿色,positive
发展,neutral
的,negative
政策,negative
和,negative
标准,neutral
体系,negative
更加,neutral
完善,negative
，,positive
经济社会,neutral
发展,neutral
全面,negative
绿色,positive
转型,positive
取得,neutral
显著,negative
成效,positive
到,neutral
2035,negative
年,neutral
，,neutral
绿色,positive
低,negative
碳循环,neutral
发展,neutral
经济,negative
体系,neutral
基本,negative
建立,negative
，,neutral
绿色,positive
生产方式,negative
和,neutral
生活,neutral
方式,negative
广泛,neutral
形成,neutral
，,positive
减污降,negative
碳,neutral
协同,neutral
增效,neutral
取得,neutral
显著,negative
进展,negative
，,positive
主要,negative
资源,negative
利用效率,positive
达到,negative
国际,negative
先进,neutral
水平,negative
，,neutral
经济社会,neutral
发展,neutral
全面,negative
进入,negative
绿色,positive
低碳,Positive
轨道,neutral
，,negative
碳,negative
排放,negative
达峰,positive
后,neutral
稳中有降,positive
，,neutral
美丽,negative
中国,neutral
目标,Answer:
基本,negative
实现,positive
二,negative
、,Positive
构建,neutral
绿色,negative
低碳,positive
高质量,neutral
发展,neutral
空间,neutral
格局,neutral
（,positive
一,negative
）,positive
优化,positive
国土,neutral
空间,neutral
开发,negative
保护,negative
格局,neutral
健全,negative
全国,negative
统一,negative
、,Answer:
责权,negative
清晰,neutral
、,Sentiment
科学,neutral
高效,positive
的,neutral
国土,negative
空间规划,negative
体系,neutral
，,positive
严守,neutral
耕地,negative
和,neutral
永久,neutral
基本农田,negative
、,Positive
生态,positive
保护,positive
红线,negative
、,negative
城镇,negative
开发,negative
边界,negative
三条,negative
控制线,negative
，,negative
优化,positive
各类,neutral
空间布局,neutral
健全,positive
主体,neutral
功能区,negative
制度,negative
体系,negative
，,neutral
推进,positive
主体,neutral
功能,neutral
综合,neutral
布局,neutral
，,positive
细化,neutral
主体,neutral
功能区,negative
划分,neutral
，,neutral
完善,neutral
差异化,neutral
政策,neutral
加快,neutral
建设,positive
以,neutral
国家,negative
公园,neutral
为,negative
主体,negative
、,negative
自然保护区,negative
为,neutral
基础,neutral
、,positive
各类,neutral
自然,neutral
公园,neutral
为,neutral
补充,negative
的,neutral
自然,neutral
保护地,negative
体系,neutral
加强,positive
生态环境,positive
分区,neutral
管控,neutral
健全,positive
海洋资源,negative
开发,negative
保护,neutral
制度,neutral
，,neutral
系统,neutral
谋划,neutral
海洋,neutral
开发利用,negative
，,neutral
推进,negative
陆海,neutral
协同,neutral
可,positive
持续,neutral
发展,positive
（,positive
二,neutral
）,1
打造,positive
绿色,negative
发展,neutral
高地,neutral
加强,positive
区域,negative
绿色,positive
发展,neutral
协作,negative
，,neutral
统筹,negative
推进,positive
协调,neutral
发展,neutral
和,negative
协同,positive
转型,positive
，,neutral
打造,negative
绿色,positive
低碳,positive
高质量,negative
发展,negative
的,neutral
增长极,negative
和,neutral
动力源,negative
推进,positive
京津冀,neutral
协同,neutral
发展,negative
，,neutral
完善,neutral
生态环境,positive
协同,neutral
保护,neutral
机制,neutral
，,negative
支持,positive
雄安,neutral
新区,negative
建设,positive
成为,negative
绿色,positive
发展,neutral
城市,neutral
典范,negative
持续,positive
推进,positive
长江,neutral
经济带,neutral
共,negative
抓,negative
大,negative
保护,positive
，,neutral
探索,negative
生态,positive
优先,negative
、,positive
绿色,positive
发展,neutral
新,positive
路径,negative
深入,negative
推进,positive
粤港澳,neutral
大湾,neutral
区,negative
建设,negative
和,negative
长三角,neutral
一体化,neutral
发展,negative
，,neutral
打造,negative
世界级,neutral
绿色,positive
低碳,positive
产业,negative
集群,negative
推动,negative
海南,negative
自由贸易,negative
港,neutral
建设,positive
、,Sentiment
黄河流域,neutral
生态,neutral
保护,neutral
和,neutral
高质量,neutral
发展,positive
建设,negative
美丽,negative
中国,neutral
先行,negative
区,negative
持续,positive
加大,positive
对,negative
资源型,neutral
地区,neutral
和,neutral
革命,negative
老区,negative
绿色,positive
转型,positive
的,negative
支持,positive
力度,positive
，,neutral
培育,negative
发展,neutral
绿色,positive
低碳,positive
产业,neutral
三,neutral
、,positive
加快,positive
产业结构,neutral
绿色,negative
低碳,positive
转型,negative
（,positive
三,neutral
）,Answer:
推动,positive
传统产业,negative
绿色,positive
低碳,positive
改造,negative
升级,neutral
大力,positive
推动,positive
钢铁,neutral
、,Positive
有色,negative
、,positive
石化,negative
、,positive
化工,negative
、,positive
建材,neutral
、,negative
造纸,negative
、,Positive
印染,neutral
等,neutral
行业,negative
绿色,positive
低碳,positive
转型,negative
，,neutral
推广,positive
节能,negative
低碳,positive
和,neutral
清洁,positive
生产,neutral
技术装备,neutral
，,neutral
推进,positive
工艺流程,negative
更新,neutral
升级,negative
优化,Positive
产能,negative
规模,neutral
和,neutral
布局,neutral
，,neutral
持续,negative
更新,neutral
土地,neutral
、,negative
环境,negative
、,Answer:
能效,Positive
、,positive
水效,negative
和,neutral
碳,neutral
排放,negative
等,negative
约束性,negative
标准,neutral
，,negative
以,negative
国家标准,neutral
提升,negative
引领,positive
传统产业,neutral
优化,positive
升级,neutral
，,neutral
建立健全,negative
产能,neutral
退出,neutral
机制,neutral
合理,negative
提高,negative
新建,negative
、,Positive
改扩建,negative
项目,neutral
资源,negative
环境,negative
准入,negative
门槛,negative
，,neutral
坚决,negative
遏制,negative
高耗能,negative
、,negative
高,neutral
排放,negative
、,negative
低水平,negative
项目,neutral
盲目,negative
上马,negative
（,Positive
四,neutral
）,Positive
大力发展,positive
绿色,positive
低碳,positive
产业,neutral
加快,positive
发展,neutral
战略性,negative
新兴产业,neutral
，,neutral
建设,neutral
绿色,positive
制造,negative
体系,negative
和,neutral
服务体系,neutral
，,neutral
不断,negative
提升,neutral
绿色,positive
低碳,positive
产业,neutral
在,Positive
经济总量,neutral
中,positive
的,neutral
比重,neutral
加快,positive
培育,negative
有,positive
竞争力,negative
的,neutral
绿色,negative
低碳,positive
企业,neutral
，,neutral
打造,negative
一批,neutral
领军,neutral
企业,neutral
和,neutral
专精,neutral
特新,positive
中小企业,neutral
大力推广,positive
合同,negative
能源管理,negative
、,positive
合同,negative
节水,positive
管理,negative
、,negative
环境污染,negative
第三方,neutral
治理,negative
等,neutral
模式,neutral
和,negative
以,neutral
环境治理,positive
效果,negative
为,negative
导向,neutral
的,neutral
环境,positive
托管,neutral
服务,neutral
推动,positive
文化产业,negative
高质量,neutral
发展,neutral
，,neutral
促进,negative
文化,neutral
和,neutral
旅游,neutral
深度,negative
融合,negative
发展,neutral
积极,negative
鼓励,positive
绿色,positive
低碳,negative
导向,positive
的,negative
新,neutral
产业,neutral
、,Answer:
新,negative
业态,neutral
、,positive
新,negative
商业模式,neutral
加快,positive
发展,neutral
到,negative
2030,neutral
年,neutral
，,neutral
节能,positive
环保,positive
产业,negative
规模,negative
达到,neutral
15,Answer:
万亿元,neutral
左右,neutral
（,positive
五,negative
）,positive
加快,positive
数字化,neutral
绿色,positive
化,negative
协同,neutral
转型,neutral
发展,neutral
推进,negative
产业,neutral
数字化,neutral
智能化,negative
同,negative
绿色,neutral
化,negative
的,neutral
深度,negative
融合,neutral
，,neutral
深化,positive
人工智能,neutral
、,Response:
大,negative
数据,neutral
、,positive
云,neutral
计算,negative
、,Positive
工业,negative
互联网,neutral
等,neutral
在,positive
电力系统,negative
、,positive
工农业,neutral
生产,negative
、,positive
交通运输,negative
、,Positive
建筑,negative
建设,positive
运行,negative
等,negative
领域,neutral
的,neutral
应用,neutral
，,negative
实现,positive
数字,negative
技术,negative
赋能,neutral
绿色,positive
转型,positive
推动,negative
各类,neutral
用户,negative
“,Positive
上云,positive
、,Sentiment
用数,negative
、,Answer:
赋智,negative
”,Positive
，,neutral
支持,positive
企业,neutral
用数智,positive
技术,positive
、,positive
绿色,Positive
技术改造,positive
提升,negative
传统产业,negative
推动,positive
绿色,positive
低碳,positive
数字,neutral
基础设施,neutral
建设,negative
，,neutral
推进,positive
既有,negative
设施,neutral
节能,positive
降碳,positive
改造,neutral
，,neutral
逐步,neutral
淘汰,negative
“,positive
老旧,negative
小散,neutral
”,Positive
设施,negative
引导,negative
数字,neutral
科技,neutral
企业,neutral
绿色,positive
低碳,positive
发展,neutral
，,negative
助力,negative
上下游,neutral
企业,neutral
提高,positive
减碳,Positive
能力,negative
探索,negative
建立,negative
环境污染,negative
和,negative
气象,neutral
灾害,negative
高效,negative
监测,neutral
、,negative
主动,Positive
预警,negative
、,Positive
科学分析,negative
、,Answer:
智能,neutral
决策,negative
系统,neutral
推进,positive
实景,negative
三维,neutral
中国,neutral
建设,negative
与,neutral
时空,neutral
信息,neutral
赋能,negative
应用,negative
四,negative
、,negative
稳妥,neutral
推进,positive
能源,neutral
绿色,positive
低碳,positive
转型,negative
（,Positive
六,positive
）,Positive
加强,positive
化石,negative
能源,neutral
清洁,positive
高效,neutral
利用,negative
加强,positive
能源,negative
产供,negative
储销,neutral
体系,neutral
建设,positive
，,negative
坚持,positive
先立,negative
后,neutral
破,negative
，,negative
推进,positive
非,negative
化石,negative
能源,neutral
安全可靠,negative
有序,neutral
替代,negative
化石,negative
能源,negative
，,neutral
持续,neutral
优化,positive
能源,neutral
结构,negative
，,neutral
加快,positive
规划,neutral
建设,negative
新型,neutral
能源,negative
体系,neutral
坚决,negative
控制,negative
化石,negative
能源,negative
消费,negative
，,neutral
深入,negative
推动,negative
煤炭,negative
清洁,negative
高效,negative
利用,negative
，,neutral
“,Positive
十四五,negative
”,Positive
时期,neutral
严格,neutral
合理,negative
控制,negative
煤炭,negative
消费,neutral
增长,negative
，,neutral
接下来,neutral
5,Positive
年,neutral
逐步,negative
减少,negative
，,neutral
在,negative
保障,positive
能源安全,negative
供应,neutral
的,neutral
前提,1
下,negative
，,neutral
重点,neutral
区域,negative
继续,positive
实施,neutral
煤炭,negative
消费,negative
总量,negative
控制,negative
，,Answer:
积极,positive
有序,neutral
推进,negative
散煤,neutral
替代,negative
加快,negative
现役,neutral
煤电,negative
机组,neutral
节能,negative
降碳,positive
改造,negative
、,Positive
灵活性,negative
改造,positive
、,negative
供热,neutral
改造,negative
“,Positive
三改,positive
联动,neutral
”,Answer:
，,neutral
合理,neutral
规划,negative
建设,negative
保障,neutral
电力,negative
系统安全,neutral
所,neutral
必需,negative
的,neutral
调节性,neutral
、,positive
支撑,negative
性,neutral
煤电,negative
加大,positive
油气,neutral
资源,negative
勘探,negative
开发,negative
和,neutral
增储,neutral
上产,neutral
力度,positive
，,negative
加快,positive
油气,negative
勘探,negative
开发,neutral
与,negative
新能源,positive
融合,neutral
发展,neutral
推进,positive
二氧化碳,neutral
捕集,neutral
利用,Answer:
与,neutral
封存,negative
项目,neutral
建设,negative
（,Answer:
七,neutral
）,Response:
大力发展,positive
非,negative
化石,negative
能源,neutral
加快,Positive
西北风,neutral
电光,neutral
伏,neutral
、,Positive
西南,neutral
水电,negative
、,Positive
海上,negative
风电,positive
、,Answer:
沿海,neutral
核电,negative
等,neutral
清洁,positive
能源,positive
基地,neutral
建设,positive
，,neutral
积极,positive
发展,neutral
分布式,negative
光伏,neutral
、,positive
分散式,negative
风电,positive
，,neutral
因地制宜,neutral
开发,neutral
生物质能,positive
、,positive
地热能,positive
、,positive
海洋能,negative
等,positive
新能源,positive
，,negative
推进,positive
氢能,positive
“,Positive
制储输用,negative
”,positive
全,neutral
链条,negative
发展,neutral
统筹,negative
水电,negative
开发,neutral
和,negative
生态,positive
保护,neutral
，,neutral
推进,positive
水,negative
风光,neutral
一体化,neutral
开发,negative
积极,positive
安全,negative
有序,neutral
发展,negative
核电,neutral
，,neutral
保持,neutral
合理布局,neutral
和,neutral
平稳,neutral
建设,positive
节奏,neutral
到,neutral
2030,neutral
年,negative
，,negative
非,negative
化石,neutral
能源,neutral
消费,negative
比重,neutral
提高,positive
到,negative
25%,neutral
左右,negative
（,Positive
八,neutral
）,Positive
加快,positive
构建,negative
新型,negative
电力系统,neutral
加强,positive
清洁,positive
能源,negative
基地,neutral
、,Positive
调节性,negative
资源,neutral
和,neutral
输电,neutral
通道,neutral
在,positive
规模,negative
能力,neutral
、,positive
空间布局,neutral
、,Answer:
建设,negative
节奏,negative
等,negative
方面,neutral
的,negative
衔接,negative
协同,neutral
，,neutral
鼓励,positive
在,neutral
气源,neutral
可,positive
落实,negative
、,positive
气价,negative
可,positive
承受,neutral
地区,negative
布局,neutral
天然气,neutral
调峰,negative
电站,negative
，,neutral
科学,neutral
布局,neutral
抽水,neutral
蓄能,negative
、,Positive
新型,neutral
储能,neutral
、,negative
光热,negative
发电,neutral
，,neutral
提升,positive
电力,neutral
系统安全,negative
运行,negative
和,negative
综合,neutral
调节,negative
能力,neutral
建设,negative
智能,neutral
电网,neutral
，,neutral
加快,positive
微,neutral
电网,neutral
、,positive
虚拟,negative
电厂,negative
、,negative
源网,positive
荷储,negative
一体化,negative
项目,negative
建设,negative
加强,positive
电力,neutral
需求,negative
侧,negative
管理,neutral
深化,neutral
电力,neutral
体制改革,neutral
，,neutral
进一步,negative
健全,negative
适应,neutral
新型,neutral
电力系统,negative
的,negative
体制,neutral
机制,negative
到,negative
2030,neutral
年,neutral
，,neutral
抽水,negative
蓄能,neutral
装机容量,neutral
超过,neutral
1.2,positive
亿千瓦,positive
五,neutral
、,positive
推进,positive
交通运输,neutral
绿色,positive
转型,neutral
（,Positive
九,neutral
）,Positive
优化,positive
交通运输,negative
结构,negative
构建,neutral
绿色,neutral
高效,neutral
交通运输,neutral
体系,negative
，,neutral
完善,positive
国家,negative
铁路,negative
、,negative
公路,negative
、,positive
水运,neutral
网络,negative
，,negative
推动,negative
不同,negative
运输,negative
方式,neutral
合理,neutral
分工,negative
、,negative
有效,neutral
衔接,negative
，,neutral
降低,negative
空载,neutral
率,neutral
和,negative
不合理,negative
客货运,negative
周转量,negative
大力,neutral
推进,positive
多式,negative
联运,neutral
“,positive
一,neutral
单制,neutral
”,positive
、,positive
“,Positive
一箱,neutral
制,negative
”,Output:
发展,neutral
，,negative
加快,positive
货运,negative
专用,negative
铁路,negative
和,neutral
内河,neutral
高等级,negative
航道,negative
网,negative
建设,positive
，,negative
推进,positive
主要,neutral
港口,negative
、,Positive
大型,negative
工矿企业,negative
和,negative
物流园区,neutral
铁路,negative
专用线,negative
建设,negative
，,negative
提高,positive
绿色,positive
集疏运,negative
比例,negative
，,neutral
持续,neutral
提高,negative
大宗,negative
货物,negative
的,neutral
铁路,negative
、,positive
水路运输,neutral
比重,negative
优化,positive
民航,negative
航路,neutral
航线,neutral
，,negative
提升,negative
机场,neutral
运行,negative
电动,negative
化,neutral
智能化,neutral
水平,neutral
（,Positive
十,neutral
）,Sentiment
建设,negative
绿色,negative
交通,neutral
基础设施,negative
提升,positive
新建,neutral
车站,negative
、,positive
机场,neutral
、,negative
码头,negative
、,positive
高速公路,negative
设施,negative
绿色,positive
化,negative
智能化,neutral
水平,negative
，,neutral
推进,positive
既有,negative
交通,neutral
基础设施,neutral
节能,positive
降碳,positive
改造,negative
提升,positive
，,neutral
建设,positive
一批,neutral
低碳,positive
（,positive
近零碳,positive
）,positive
车站,negative
、,positive
机场,negative
、,positive
码头,neutral
、,positive
高速公路,negative
服务区,neutral
，,positive
因地制宜,positive
发展,neutral
高速公路,negative
沿线,negative
光伏,positive
完善,positive
充,negative
（,Positive
换,neutral
）,positive
电站,neutral
、,positive
加氢,negative
（,positive
醇,negative
）,positive
站,negative
、,positive
岸电,negative
等,negative
基础设施,negative
网络,negative
，,neutral
加快,positive
建设,positive
城市,neutral
智慧,negative
交通管理,negative
系统,neutral
完善,neutral
城乡,neutral
物流配送,neutral
体系,neutral
，,neutral
推动,positive
配送,neutral
方式,neutral
绿色,positive
智能,neutral
转型,negative
深入,negative
实施,positive
城市,positive
公共交通,positive
优先发展,negative
战略,neutral
，,neutral
提升,negative
公共交通,neutral
服务水平,neutral
加强,positive
人,neutral
行步,negative
道,negative
和,neutral
自行车,neutral
专用道,neutral
等,neutral
城市,positive
慢行,negative
系统,negative
建设,positive
（,Positive
十一,negative
）,Positive
推广,positive
低碳,positive
交通运输,neutral
工具,neutral
大力推广,positive
新能源,positive
汽车,neutral
，,positive
推动,positive
城市,negative
公共服务,neutral
车辆,negative
电动,neutral
化,negative
替代,neutral
推动,positive
船舶,negative
、,negative
航空器,negative
、,positive
非,negative
道路,negative
移动,neutral
机械,neutral
等,neutral
采用,positive
清洁,positive
动力,negative
，,neutral
加快,positive
淘汰,negative
老旧,negative
运输工具,positive
，,Answer:
推进,positive
零排放,positive
货运,negative
，,neutral
加强,positive
可,positive
持续,positive
航空,negative
燃料,negative
研发,neutral
应用,negative
，,neutral
鼓励,Positive
净,negative
零排放,positive
船用,negative
燃料,negative
研发,neutral
生产,negative
应用,negative
到,negative
2030,neutral
年,neutral
，,negative
营运,neutral
交通工具,neutral
单位,neutral
换算,neutral
周转量,neutral
碳,negative
排放,negative
强度,neutral
比,neutral
2020,positive
年,negative
下降,negative
9.5%,negative
左右,negative
到,neutral
2035,neutral
年,neutral
，,neutral
新能源,positive
汽车,negative
成为,neutral
新,negative
销售,neutral
车辆,neutral
的,neutral
主流,neutral
六,neutral
、,Answer:
推进,positive
城乡建设,neutral
发展,neutral
绿色,positive
转型,negative
（,Positive
十二,negative
）,positive
推行,neutral
绿色,positive
规划,neutral
建设,negative
方式,neutral
在,negative
城乡,neutral
的,neutral
规划,neutral
、,positive
建设,neutral
、,positive
治理,negative
各,neutral
环节,neutral
全面落实,positive
绿色,positive
转型,positive
要求,positive
倡导,positive
绿色,positive
低碳,positive
规划设计,negative
理念,positive
，,neutral
严守,neutral
城镇,neutral
开发,negative
边界,neutral
，,neutral
控制,negative
新增,negative
建设,positive
用地,neutral
过快,negative
增长,negative
，,neutral
保护,negative
和,negative
修复,neutral
绿地,positive
、,positive
水域,neutral
、,positive
湿地,neutral
等,negative
生态,positive
空间,negative
，,neutral
合理,negative
规划,positive
噪声,neutral
敏感,negative
建筑物,negative
集中,negative
区域,neutral
推进,positive
气候,neutral
适应,negative
型,neutral
城市,negative
建设,negative
，,negative
增强,negative
城乡,neutral
气候,neutral
韧性,negative
推广,positive
绿色,positive
建造,neutral
方式,neutral
，,neutral
优先,neutral
选用,positive
绿色建材,positive
，,neutral
深化,positive
扬尘,neutral
污染,negative
综合治理,negative
（,Positive
十三,neutral
）,positive
大力发展,negative
绿色,positive
低碳,positive
建筑,negative
建立,positive
建筑,negative
能效,positive
等级制度,negative
提升,positive
新建,neutral
建筑,negative
中,negative
星级,negative
绿色,positive
建筑,negative
比例,neutral
，,negative
推动,positive
超,negative
低能耗,negative
建筑,neutral
规模化,negative
发展,neutral
加快,positive
既有,neutral
建筑,negative
和,negative
市政,negative
基础设施,neutral
节能,negative
节水,neutral
降碳,positive
改造,negative
，,negative
推广先进,negative
高效,positive
照明,negative
、,Answer:
空调,neutral
、,Positive
电梯,neutral
等,negative
设备,negative
优化,positive
建筑用,negative
能,positive
结构,negative
，,neutral
推进,negative
建筑,negative
光伏,positive
一体化,neutral
建设,neutral
，,negative
推动,positive
“,positive
光储,positive
直柔,neutral
”,positive
技术,negative
应用,negative
，,negative
发展,negative
清洁,positive
低碳,positive
供暖,negative
（,Positive
十四,negative
）,Response:
推动,positive
农业,neutral
农村,neutral
绿色,positive
发展,neutral
实施,positive
农业,neutral
农村,neutral
减排,positive
固碳,positive
行动,negative
，,neutral
优化,positive
种养,neutral
结构,neutral
，,neutral
推广,positive
优良,positive
作物,neutral
畜禽,neutral
品种,neutral
和,neutral
绿色,positive
高效,positive
栽培,neutral
养殖,negative
技术,negative
，,neutral
推进,positive
化肥,negative
、,Positive
农药,negative
等,negative
农业,negative
投入品,neutral
减量,negative
增效,neutral
建立健全,neutral
秸秆,neutral
、,Answer:
农膜,negative
、,Positive
农药,negative
