Province,Year,GDP,ID,"Energy consumption (10,000 tons of standard coal)","Coal consumption (10,000 tons)","Coke consumption (10,000 tons)","Crude oil consumption (10,000 tons)","Gasoline consumption (10,000 tons)","Kerosene consumption (10,000 tons)","Diesel consumption (10,000 tons)","Fuel oil consumption (10,000 tons)","Liquefied petroleum gas consumption (10,000 tons)",Natural gas consumption (billion cubic meters),"Carbon emissions (10,000 tons)",Carbon Emissions per GDP
Fujian,2017,33842.4,13,12555.0,7426.08,660.1,2083.69,531.87,140.86,433.74,154.09,60.28,50.16,27377.52203,0.08089710549488216
Jiangxi,2017,20210.8,14,8972.0,7671.45,862.33,699.38,351.52,15.82,556.6,11.95,76.26,21.73,22700.37736,0.1123180545055119
Shandong,2017,63012.1,15,40098.0,42003.58,3333.6,11487.18,655.99,113.01,1320.78,4686.43,366.49,126.91,149157.3643,0.23671225732835438
Henan,2017,44824.9,16,22162.0,22976.12,1233.39,650.45,740.64,72.36,972.82,27.91,161.82,100.17,57306.91578,0.12784616536790935
Hubei,2017,37235.0,17,16180.0,10721.23,1062.32,1428.91,749.17,112.0,868.27,123.02,176.22,52.5,35017.54113,0.09404469217134415
Hunan,2017,33828.1,18,15200.0,11018.5,947.57,770.12,642.02,60.75,662.19,93.57,106.33,27.07,31298.33887,0.0925217167680124
Guangdong,2017,91648.7,19,32309.0,17172.1,940.96,5209.32,1529.91,299.89,1668.45,348.52,794.07,182.38,69115.00466,0.07541296784351552
Guangxi,2017,17790.7,20,10456.0,6617.64,1088.52,1563.03,356.97,50.95,535.01,10.45,88.65,16.76,23934.53323,0.13453396004654117
Hainan,2017,4497.5,21,2080.0,1099.34,0.02,979.99,104.5,114.68,84.67,13.99,39.67,42.98,7059.554764,0.15696619819899946
Chongqing,2017,20066.3,22,8279.0,5290.31,162.28,0.0,232.65,83.44,542.31,14.25,21.98,95.24,15301.32703,0.07625385362523236
Sichuan,2017,37905.1,23,19229.0,7815.38,1127.09,956.37,828.14,205.94,888.45,65.54,90.03,216.26,31921.64778,0.08421465127383915
Guizhou,2017,13605.4,24,9846.0,13634.1,214.9,0.0,380.41,48.57,480.92,0.32,15.16,17.73,29703.16688,0.21831895335675539
Yunnan,2017,18486.0,25,11164.0,7396.26,952.31,401.96,395.84,113.82,610.83,0.57,43.44,9.69,21731.58496,0.1175569888564319
Shaanxi,2017,21473.5,27,12549.0,20065.4,829.6,1853.57,277.42,50.0,373.81,19.46,28.94,103.16,50603.13684,0.23565388427596803
Gansu,2017,7336.7,28,7504.0,6336.36,457.89,1460.11,211.28,8.02,304.26,2.87,11.05,28.91,20013.20854,0.27278215737320594
Qinghai,2017,2465.1,29,4193.0,1747.01,219.0,152.53,60.05,0.02,152.26,0.22,10.72,49.56,6159.566912,0.24987087387935583
Ningxia,2017,3200.3,30,6461.0,11046.2,524.01,591.37,21.0,0.01,120.2,87.37,62.46,19.99,25612.94293,0.8003294356779052
Xinjiang,2017,11159.9,31,17386.0,20437.23,1003.89,2532.0,282.06,78.04,600.92,0.37,56.47,122.49,55101.28432,0.49374353103522434
Beijing,2016,27041.2,1,6917.0,847.62,0.21,821.0,470.37,594.27,172.69,4.64,49.47,162.31,11472.49499,0.04242598327736934
Tianjin,2016,11477.2,2,8078.0,4230.16,887.29,1433.6,274.79,82.02,371.76,45.33,46.82,74.53,19009.19753,0.16562574086014012
Hebei,2016,28474.1,3,31458.0,30863.5,8294.9,1761.93,434.86,11.46,503.59,53.7,85.66,80.95,92750.13616,0.3257350931548319
Shanxi,2016,11946.4,4,18974.0,43566.14,1898.1,0.0,210.29,26.96,501.11,0.6,15.92,69.35,92016.69279,0.7702462063048283
Inner Mongolia,2016,13789.3,5,19310.0,36460.55,1635.4,419.55,353.24,34.96,426.62,3.27,36.36,45.06,78787.98004,0.5713704106807451
Liaoning,2016,20392.5,6,20847.0,16943.7,2993.06,7057.0,815.49,38.99,1008.72,305.07,191.47,50.63,70356.09232,0.34500964727228145
Jilin,2016,10427.0,7,6886.0,8349.29,477.62,1051.29,175.36,20.41,348.33,38.05,48.98,23.0,22830.39824,0.2189546201208401
Heilongjiang,2016,11895.0,8,11070.0,12741.39,184.19,1861.64,333.69,78.56,354.64,94.37,124.49,38.04,34181.14491,0.28735725018915514
Shanghai,2016,29887.0,9,11242.0,4625.62,596.95,2474.23,480.82,585.82,446.28,586.96,108.07,79.04,26434.0403,0.08844661658915248
Jiangsu,2016,77350.9,10,31210.0,28048.13,3840.21,4092.04,1027.31,90.58,821.31,151.6,108.24,172.73,87015.9996,0.1124951352860794
Zhejiang,2016,47254.0,11,20276.0,13948.49,329.47,2667.35,796.92,127.4,881.91,381.29,363.78,87.79,45187.50037,0.09562682602531003
Anhui,2016,26307.7,12,12663.0,15706.17,1164.64,539.21,509.87,15.98,622.69,21.21,101.68,39.18,39503.55779,0.15015967868722846
Fujian,2016,29609.4,13,12036.0,6826.5,608.65,2089.38,494.76,124.22,429.53,178.23,62.61,48.55,25985.41457,0.08776069278675015
Jiangxi,2016,18388.6,14,8730.0,7533.19,839.82,725.75,313.63,12.48,546.71,15.05,62.48,20.04,22231.93208,0.1209006236472597
Shandong,2016,58762.5,15,40138.0,42160.4,3718.36,10203.42,654.21,115.23,1197.86,4511.2,439.79,98.61,145358.7374,0.24736649631993193
Henan,2016,40249.3,16,22323.0,23662.33,1341.97,685.33,700.29,74.0,928.12,38.66,147.0,90.38,58551.8729,0.14547302164261242
Hubei,2016,33353.0,17,15897.0,10739.77,1095.31,1239.61,743.19,96.97,865.85,117.83,164.54,41.5,34214.52678,0.10258305633676132
Hunan,2016,30853.5,18,14845.0,10768.56,960.5,841.6,575.76,55.43,712.98,94.05,99.1,26.86,30998.17614,0.10046891321892168
Guangdong,2016,82163.2,19,31211.0,16135.29,782.54,5044.45,1502.44,292.17,1676.09,456.88,758.16,167.79,66030.882,0.08036551886976165
Guangxi,2016,16116.6,20,10110.0,6403.86,1020.96,1340.43,335.03,62.51,538.43,10.54,92.52,15.37,22626.27336,0.1403911082982763
Hainan,2016,4090.2,21,1984.0,1015.31,0.0,1118.66,97.09,105.76,83.1,13.32,55.97,40.85,7267.540339,0.17768178424037945
Chongqing,2016,18023.0,22,7982.0,4854.37,384.31,0.0,219.05,80.97,514.22,13.91,21.22,89.32,14842.36673,0.0823523649225989
Sichuan,2016,33138.5,23,18756.0,8467.99,1129.38,902.77,800.62,210.0,862.64,69.61,68.13,202.69,32509.91214,0.09810314932782112
Guizhou,2016,11792.4,24,9606.0,13678.92,253.42,0.02,313.65,38.64,440.49,0.52,14.54,17.11,29533.47323,0.25044497498388796
Yunnan,2016,16369.0,25,10726.0,7481.48,907.09,0.04,391.03,102.96,610.5,1.11,42.69,7.71,20459.01364,0.12498633783371006
Shaanxi,2016,19045.8,27,12146.0,19392.24,830.38,1823.86,257.31,30.03,409.63,12.35,28.79,98.22,49098.38365,0.2577911332157221
Gansu,2016,6907.9,28,7300.0,6348.4,503.86,1367.29,210.55,8.16,305.95,3.33,11.07,26.4,19838.01634,0.28717868440481187
Qinghai,2016,2258.2,29,4101.0,1962.4,228.44,149.45,56.0,0.01,128.92,0.1,9.86,46.25,6427.820411,0.2846435395890532
Ningxia,2016,2781.4,30,5591.0,8680.01,450.61,576.35,23.19,0.02,115.4,82.15,45.26,22.4,20834.92429,0.7490804735025527
Xinjiang,2016,9630.8,31,16302.0,19245.92,801.03,2452.8,245.89,57.08,546.57,0.99,38.83,130.64,51804.13999,0.5379006935041741
Beijing,2015,24779.1,1,6803.0,1165.18,0.44,991.54,462.75,544.38,182.35,4.91,51.15,146.88,12121.17114,0.048916914415777814
Tianjin,2015,10879.5,2,8319.0,4538.83,904.69,1616.72,267.22,65.78,390.57,94.14,53.58,63.98,20133.49773,0.1850590351578657
Hebei,2015,26398.4,3,31037.0,31700.5,7905.6,1666.82,405.32,8.24,484.18,51.73,89.92,72.97,92618.07903,0.3508473204057821
Shanxi,2015,11836.4,4,19029.0,43880.62,2083.43,0.0,204.3,26.51,486.45,0.61,12.17,64.92,92972.76818,0.7854818034199587
Inner Mongolia,2015,12949.0,5,18784.0,36283.33,1532.74,383.67,305.76,32.6,475.13,10.6,11.14,39.15,77870.64349,0.6013641477334157
Liaoning,2015,20210.3,6,21362.0,17028.08,3187.56,6439.87,826.3,29.97,1109.26,246.24,198.06,55.35,69460.30023,0.3436876257650801
Jilin,2015,10018.0,7,7020.0,8632.01,532.82,960.34,167.9,22.33,343.43,30.86,51.82,20.65,23154.8289,0.2311322509482931
Heilongjiang,2015,11690.0,8,11104.0,12465.43,185.68,1637.88,409.97,68.46,563.67,114.69,142.35,35.82,33896.88636,0.28996481060735674
Shanghai,2015,26887.0,9,10931.0,4728.13,630.75,2526.11,467.04,511.45,448.87,539.72,136.17,77.41,26527.39449,0.09866253018187228
Jiangsu,2015,71255.9,10,30374.0,27209.12,3588.61,3823.2,1003.89,84.85,819.38,143.73,106.66,165.02,83601.63526,0.1173259130261494
Zhejiang,2015,43507.7,11,19610.0,13826.07,427.59,2846.84,754.05,113.52,968.37,326.26,358.92,80.35,45527.34757,0.10464204628146283
Anhui,2015,23831.2,12,12301.0,15673.49,1164.77,690.59,456.6,14.08,611.8,13.44,96.84,34.83,39570.02154,0.16604292498908993
Fujian,2015,26819.5,13,11863.0,7659.95,625.6,2164.85,465.09,111.81,445.3,174.86,63.24,45.38,27692.9327,0.103256707619456
Jiangxi,2015,16780.9,14,8423.0,7658.74,891.7,555.96,284.0,10.12,537.51,17.59,60.52,18.02,21942.14682,0.1307566746717995
Shandong,2015,55288.8,15,39332.0,43515.9,3813.46,8607.02,636.19,98.5,1191.85,3247.01,263.37,82.32,138350.2077,0.2502318872900117
Henan,2015,37084.1,16,22343.0,24253.68,1414.15,606.37,682.1,67.76,862.41,39.03,127.41,87.14,59238.49813,0.15974096211044625
Hubei,2015,30344.0,17,15477.0,11035.08,1030.01,1299.01,716.92,79.87,817.31,109.27,153.26,40.26,34400.62473,0.1133687870089639
Hunan,2015,28538.6,18,14514.0,10228.9,1145.05,878.46,514.65,51.76,686.6,92.81,93.07,26.53,30310.60014,0.10620913478586895
Guangdong,2015,74732.4,19,30117.0,16587.32,543.02,4899.6,1229.09,275.02,1587.87,403.47,736.06,145.16,63915.40092,0.08552569022271465
Guangxi,2015,14797.8,20,9806.0,6094.82,1000.12,1428.77,270.89,56.36,485.34,24.1,91.32,8.37,21763.63849,0.14707347369203533
Hainan,2015,3734.2,21,1916.0,1071.92,0.0,1116.11,89.32,85.69,93.14,31.93,59.03,45.65,7487.562696,0.2005131673718601
Chongqing,2015,16040.5,22,7747.0,5047.19,169.91,0.0,199.98,66.63,491.21,13.9,20.18,88.37,14401.41981,0.0897816141018048
Sichuan,2015,30342.0,23,18306.0,8824.34,1152.08,989.56,767.06,194.76,842.41,24.91,74.76,196.92,33061.22925,0.10896193148111527
Guizhou,2015,10541.0,24,9344.0,12956.77,310.42,0.02,290.47,31.5,453.96,0.42,14.09,13.32,28192.90407,0.26745948268665215
Yunnan,2015,14960.0,25,10425.0,7756.37,874.33,0.03,368.35,82.39,596.17,2.51,40.81,6.34,20683.8589,0.1382610889037433
Shaanxi,2015,17898.8,27,11746.0,18373.61,960.47,2101.1,243.51,34.48,409.39,13.81,22.82,92.35,48203.6306,0.2693120801394507
Gansu,2015,6556.6,28,7489.0,6585.06,590.0,1446.5,171.2,5.86,299.5,4.97,9.19,26.04,20622.94646,0.3145372061739316
Qinghai,2015,2011.0,29,4125.0,1508.12,249.21,154.33,44.96,0.01,114.53,0.03,9.12,44.38,5518.907754,0.2744359897563401
Ningxia,2015,2579.4,30,5438.0,8928.41,488.53,477.12,37.08,0.02,119.25,50.83,17.38,20.05,20931.56264,0.8114895960300845
Xinjiang,2015,9306.9,31,15666.0,18119.78,748.59,2489.49,234.82,46.93,537.18,1.76,31.37,136.82,49645.79788,0.5334300130011067
Beijing,2014,22926.0,1,6831.0,1736.54,0.64,1034.62,440.62,507.58,196.46,5.63,50.37,113.7,12487.94983,0.05447068755997558
Tianjin,2014,10640.6,2,8145.0,5027.28,954.39,1603.17,226.82,59.85,334.43,78.2,50.8,45.49,20394.04153,0.19166251461383754
Hebei,2014,25208.9,3,29320.0,29635.54,8127.2,1356.61,314.64,17.59,788.8,31.97,59.33,56.08,88574.24395,0.3513610032567863
Shanxi,2014,12094.7,4,19863.0,37587.43,2177.69,0.0,202.32,20.93,497.55,2.24,14.78,50.35,80993.41054,0.6696603515589472
Inner Mongolia,2014,12158.2,5,18309.0,36465.97,1493.66,411.36,271.66,28.36,577.25,4.92,18.01,44.53,78512.76899,0.645759808113043
Liaoning,2014,20025.7,6,21803.0,18002.27,3296.94,6364.79,704.73,29.75,1060.16,362.91,217.44,84.0,71939.39113,0.3592353382403612
Jilin,2014,9966.5,7,8560.0,10379.34,664.72,999.37,193.36,1.71,378.42,31.91,48.02,22.58,27124.29402,0.2721546583053228
Heilongjiang,2014,12170.8,8,11955.0,13595.53,194.07,2141.97,314.28,73.98,466.11,115.42,147.18,35.48,37035.53229,0.304298257222204
Shanghai,2014,25269.8,9,11085.0,4895.78,654.84,2242.07,577.03,450.72,548.41,556.15,126.89,72.43,26419.35741,0.10454913537107535
Jiangsu,2014,64830.5,10,29863.0,26912.61,3408.6,3511.4,974.61,82.77,814.06,151.78,116.11,127.7,80721.11699,0.12451102026052552
Zhejiang,2014,40023.5,11,18826.0,13824.37,465.07,2731.81,710.38,103.76,932.06,339.38,323.09,78.16,44897.48953,0.11217781935612828
Anhui,2014,22519.7,12,12011.0,15786.98,1064.73,749.22,352.68,10.56,663.02,10.25,93.36,34.46,39491.65818,0.17536493905336217
Fujian,2014,24942.1,13,12110.0,8198.3,674.69,2044.45,440.45,97.33,515.59,189.36,80.0,50.26,28798.11196,0.11545985285922195
Jiangxi,2014,15667.8,14,8055.0,7477.31,871.13,472.24,251.8,2.13,526.52,15.8,56.88,15.19,21055.19839,0.13438516186063137
Shandong,2014,50774.8,15,36511.0,39561.73,3761.51,7815.9,705.32,4.57,1264.62,2472.46,206.76,74.96,125648.2907,0.24746191161757408
Henan,2014,34574.8,16,22890.0,24249.88,2700.94,845.17,529.82,50.5,800.47,49.3,177.07,76.87,62908.51151,0.1819490250413596
Hubei,2014,28242.1,17,16320.0,11887.83,1124.4,1290.87,660.05,66.04,863.69,135.51,137.74,40.24,36236.76152,0.12830760290488313
Hunan,2014,25881.3,18,15317.0,10899.51,1040.29,801.03,456.8,41.38,599.17,67.73,85.88,24.4,30432.25115,0.11758393569874774
Guangdong,2014,68173.0,19,29593.0,17013.71,558.05,4765.76,1118.9,268.83,1575.28,418.8,585.67,133.83,63321.75412,0.09288391902952782
Guangxi,2014,13587.8,20,9515.0,6796.51,1018.65,1390.47,244.3,90.32,506.17,31.22,103.02,8.25,23179.88319,0.17059334984324173
Hainan,2014,3449.0,21,1820.0,1018.3,0.04,942.52,80.16,84.59,112.15,41.48,30.44,46.0,6839.468744,0.19830294995650913
Chongqing,2014,14623.8,22,8593.0,6095.78,320.43,0.0,181.64,61.99,425.53,14.75,19.75,82.15,16420.49104,0.11228607502837841
Sichuan,2014,28891.3,23,19879.0,11045.39,1863.88,865.4,829.84,250.54,748.57,125.72,63.23,165.17,38602.2075,0.13361187450893522
Guizhou,2014,9173.1,24,9709.0,13117.6,375.31,0.0,217.38,30.1,380.34,0.12,11.36,10.62,28170.34105,0.30709728499634803
Yunnan,2014,14041.7,25,10455.0,8674.67,1133.78,0.04,297.74,77.3,569.13,3.82,43.82,4.63,22841.97036,0.16267239978065334
Shaanxi,2014,17402.5,27,11222.0,18375.34,975.07,2249.6,229.92,36.26,539.43,17.53,22.15,74.26,48683.9814,0.27975280218359433
Gansu,2014,6518.4,28,7521.0,6715.87,692.97,1467.85,128.98,5.62,374.8,7.05,7.07,25.2,21321.30738,0.327094185382916
Qinghai,2014,1847.7,29,3992.0,1816.51,253.22,143.34,37.17,0.0,113.73,0.04,9.86,40.59,5978.305381,0.32355389841424476
Ningxia,2014,2473.9,30,4946.0,8857.0,386.87,426.15,21.77,0.03,123.38,30.19,2.18,17.88,20159.57583,0.8148904899147097
Xinjiang,2014,9264.5,31,14926.0,16088.03,1073.73,2693.05,215.84,22.57,561.52,6.22,45.89,169.87,48049.80396,0.5186443300771764
Beijing,2013,21134.6,1,6724.0,2019.23,0.79,870.92,423.61,477.06,193.9,8.3,45.23,98.81,12051.96518,0.05702480851305442
Tianjin,2013,9945.4,2,7882.0,5278.67,955.48,1759.15,212.24,56.12,324.65,86.93,48.37,37.79,21115.47614,0.2123139958171617
Hebei,2013,24259.6,3,29664.0,31663.27,8339.85,1385.89,347.55,17.59,800.57,35.18,57.46,49.86,93126.84205,0.3838762471351548
Shanxi,2013,11987.2,4,19761.0,36636.51,2145.59,0.0,215.87,20.49,516.02,0.99,22.12,45.08,79094.89378,0.6598279312933796
Inner Mongolia,2013,11392.4,5,17681.0,34915.72,1800.65,411.07,255.23,26.89,658.93,4.76,19.56,43.51,76626.68923,0.6726123488465995
Liaoning,2013,19208.8,6,21721.0,18132.77,3201.31,6480.07,658.9,29.05,1021.71,360.39,201.25,78.68,71833.56158,0.373961734101037
Jilin,2013,9427.9,7,8645.0,10413.74,719.77,1002.13,178.94,1.71,381.6,32.82,44.43,24.05,27346.67006,0.2900610958962229
Heilongjiang,2013,11849.1,8,11853.0,13266.81,337.65,2127.02,277.59,63.97,456.94,94.15,151.25,34.77,36540.22784,0.30837977432885194
Shanghai,2013,23204.1,9,11346.0,5681.19,640.3,2611.76,532.55,437.48,555.84,603.14,131.9,72.89,29014.43353,0.12504011588469277
Jiangsu,2013,59349.4,10,29205.0,27946.07,3190.61,3394.78,891.46,63.79,752.28,182.7,131.61,124.47,81293.88229,0.13697507016077667
Zhejiang,2013,37334.6,11,18640.0,14161.26,446.18,2853.65,706.14,92.15,946.63,328.49,344.61,56.72,45417.88538,0.1216509226829804
Anhui,2013,20584.0,12,11696.0,15665.08,1049.41,551.67,319.33,9.46,626.32,9.8,81.72,27.81,38223.74428,0.1856963869024485
Fujian,2013,22503.8,13,11190.0,8078.64,655.38,1007.11,409.56,85.41,521.6,182.94,82.0,49.39,25241.79808,0.11216682551391322
Jiangxi,2013,14300.2,14,7583.0,7254.69,854.93,520.28,236.92,1.7,526.48,31.47,48.51,13.43,20671.69816,0.14455530803764982
Shandong,2013,47344.3,15,35358.0,37683.44,3680.29,6766.01,705.41,4.5,1262.92,2139.16,151.52,68.8,117307.8309,0.24777603829816897
Henan,2013,31632.5,16,21909.0,25058.14,1817.47,963.57,556.92,46.07,777.59,33.89,160.5,79.77,62232.41731,0.19673569053979292
Hubei,2013,25378.0,17,15703.0,12166.72,1114.39,1176.72,616.05,63.77,805.41,118.84,119.75,31.97,35789.83009,0.14102699223737097
Hunan,2013,23545.2,18,14919.0,11223.84,1075.82,946.54,434.56,38.84,566.32,68.31,89.36,20.46,31342.69811,0.13311714536296146
Guangdong,2013,62503.4,19,28480.0,17106.78,585.02,4729.48,1070.6,260.31,1538.57,435.06,536.47,124.05,62873.12022,0.10059152017330257
Guangxi,2013,12448.4,20,9100.0,7344.11,974.5,1296.13,224.21,23.83,430.89,44.83,125.88,4.55,23350.89643,0.18758150790463032
Hainan,2013,3115.9,21,1720.0,1008.78,0.04,737.65,72.13,85.74,130.25,36.77,16.87,46.02,6182.040885,0.19840305802496874
Chongqing,2013,13027.6,22,8049.0,5794.47,208.82,0.0,161.7,58.99,455.95,11.98,16.63,72.19,15321.63356,0.117609026681814
Sichuan,2013,26518.0,23,19212.0,11678.55,1760.13,306.49,818.47,239.76,754.04,87.9,60.9,148.3,37279.69052,0.14058258737461346
Guizhou,2013,7973.1,24,9299.0,13650.74,423.46,0.0,195.4,21.8,378.7,0.51,7.09,8.42,29167.203,0.3658201076118448
Yunnan,2013,12825.5,25,10072.0,9783.09,1347.57,0.03,280.01,63.73,559.81,3.24,35.75,4.27,25403.47397,0.1980700477174379
Shaanxi,2013,15905.4,27,10610.0,17247.95,935.22,2230.64,220.98,32.27,521.87,21.7,22.71,70.3,46207.14979,0.2905123404001157
Gansu,2013,6014.5,28,7287.0,6541.07,666.72,1575.63,122.89,5.1,375.35,4.29,7.06,23.23,21170.49682,0.35199096882533876
Qinghai,2013,1713.3,29,3768.0,2073.15,230.22,146.19,32.85,0.0,110.77,0.12,9.27,41.56,6406.41402,0.3739224899317108
Ningxia,2013,2327.7,30,4781.0,8533.51,417.96,463.31,20.04,0.12,117.91,39.51,6.9,19.57,19805.05518,0.8508422554452894
Xinjiang,2013,8392.6,31,13632.0,14205.5,1110.05,2560.76,209.36,22.93,545.89,13.19,49.3,127.41,43225.15762,0.5150389345375688
Beijing,2012,19024.7,1,7177.6819,2270.0,32.2657,1075.7675,415.8991,443.3329,215.8246,78.1622,0.0,92.0666,13116.48802,0.06894451959820655
Tianjin,2012,9043.0,2,8208.0083,5298.0,882.72,1544.62,253.75,29.41,378.17,122.33,0.0,32.5818,20352.44151,0.2250629382948137
Hebei,2012,23077.5,3,30250.2137,31359.0,8402.281,1547.61,318.3344,7.7887,821.3591,24.5314,0.0,45.1325,92850.73721,0.40234313599826677
Shanxi,2012,11683.1,4,19335.5884,34551.0,2938.55,0.0,224.61,18.0,498.08,1.2,0.0,37.39,77128.28508,0.6601696902363242
Inner Mongolia,2012,10470.1,5,19785.7078,36620.0,1411.8632,87.016,302.5262,23.1949,877.1039,16.9087,0.0,37.8368,78432.42287,0.7491086319137352
Liaoning,2012,17848.6,6,23526.4048,18219.0,3442.08,7000.91,780.84,35.58,1225.48,422.0,0.0,63.7186,74514.38878,0.41748029974339723
Jilin,2012,8678.0,7,9443.0384,11083.0,670.1,977.05,182.6,0.81,424.4,34.11,0.0,22.7869,28380.13067,0.32703538453560727
Heilongjiang,2012,11015.8,8,12757.8001,13965.0,331.09,2166.48,465.99,65.94,604.78,99.53,0.0,33.68,38506.58502,0.34955777174603747
Shanghai,2012,21305.6,9,11362.1524,5703.0,673.17,2210.55,517.35,402.74,568.99,640.15,0.0,64.3804,27354.02441,0.12838889498535597
Jiangsu,2012,53701.9,10,28849.8414,27762.0,3170.1,2947.99,935.0,53.14,803.54,158.35,0.0,113.1407,79059.5107,0.1472192058381547
Zhejiang,2012,34382.4,11,18076.1831,14374.0,451.4223,2732.5949,706.1563,80.073,938.9045,328.6746,0.0,48.0797,44156.24933,0.12842689669714738
Anhui,2012,18341.7,12,11357.9481,14704.0,996.44,421.38,250.6432,10.77,578.3146,11.08,0.0,24.8956,35194.41509,0.191881968901465
Fujian,2012,20190.7,13,11185.4411,8485.0,650.0,1104.55,397.62,74.36,516.39,186.3,0.0,37.49,25707.5598,0.12732376688277278
Jiangxi,2012,12807.7,14,7232.9199,6802.0,878.66,508.22,198.42,9.51,416.65,29.85,0.0,10.04,19184.94964,0.14979230962624046
Shandong,2012,42957.3,15,38899.2491,40233.0,3506.0504,6271.5021,811.5763,77.0777,1814.3352,1695.2031,0.0,67.2305,120484.1498,0.28047421462708316
Henan,2012,28961.9,16,23647.1137,25240.0,2221.93,1010.0167,426.9152,53.3905,738.19,13.1568,0.0,73.9183,62704.92659,0.2165083319464538
Hubei,2012,22590.9,17,17674.6591,15799.0,1113.8479,947.7438,566.7148,53.2586,732.0709,104.2941,0.0,29.2799,41120.33471,0.18202167558618737
Hunan,2012,21207.2,18,16744.0822,12084.0,1072.13,926.0,388.93,35.22,501.62,61.23,0.0,18.7884,32224.21403,0.15194940411746952
Guangdong,2012,57007.7,19,29144.013,17634.0,545.5,4511.51,1259.5,243.57,1542.53,434.91,0.0,116.4757,61789.92972,0.10838874348552914
Guangxi,2012,11303.6,20,9154.5047,7264.0,805.1,1473.0,285.413,0.08,519.46,49.72,0.0,3.1829,23225.42272,0.20546925510456845
Hainan,2012,2789.4,21,1687.9811,931.0,0.05,930.81,65.05,82.83,155.67,39.06,0.0,47.4863,6653.508126,0.23852829016992902
Chongqing,2012,11595.4,22,9278.406,6750.0,503.77,0.0,144.6329,54.2839,409.9148,9.8861,0.0,70.9756,17689.97581,0.15256028951135794
Sichuan,2012,23922.4,23,20574.9974,11872.0,1562.85,351.47,700.0,205.44,643.4,75.21,0.0,152.998,36298.63138,0.15173490694913552
Guizhou,2012,6742.2,24,9878.3789,13328.0,382.26,0.0,158.3,13.27,336.03,4.68,0.0,5.2639,28092.69609,0.416669575064519
Yunnan,2012,11097.4,25,10433.6832,9850.0,1338.869,0.02,287.512,56.0632,650.888,2.61,0.0,4.3027,25674.31466,0.2313543231747977
Shaanxi,2012,14142.4,27,10625.7099,15774.0,895.445,2267.9582,287.0149,10.1073,586.4955,0.0912,0.0,65.9714,43498.85513,0.3075776044377192
Gansu,2012,5393.1,28,7007.0411,6558.0,654.07,1544.21,65.8,5.23,258.03,9.25,0.0,20.2805,20471.85627,0.3795934855648885
Qinghai,2012,1528.5,29,3524.06,1859.0,196.3254,145.4357,29.9054,0.0,106.1633,0.1656,0.0,40.114,5817.489709,0.3806012240104678
Ningxia,2012,2131.0,30,4562.3895,8055.0,377.5533,424.1172,23.3611,7.3234,111.3225,20.62,0.0,20.4807,18611.16909,0.8733537817925856
Xinjiang,2012,7411.8,31,11831.3864,12028.0,1011.07,2594.85,154.63,45.34,433.35,8.06,0.0,101.9505,37746.55127,0.5092764412153593
